epoch,model1_bleu1,model1_bleu2,model1_bleu3,model1_bleu4,model2_bleu1,model2_bleu2,model2_bleu3,model2_bleu4,model3_bleu1,model3_bleu2,model3_bleu3,model3_bleu4,model4_bleu1,model4_bleu2,model4_bleu3,model4_bleu4,model5_bleu1,model5_bleu2,model5_bleu3,model5_bleu4
1,0.3213,0.1658,0.0885,0.047,0.3262,0.1657,0.0864,0.0465,0.3188,0.159,0.0803,0.0413,0.286601571,0.13528122,0.063130985,0.031213008,0.7849,0.729,0.6788,0.6263
2,0.3516,0.189,0.1047,0.0575,0.3544,0.189,0.1039,0.057,0.3453,0.1841,0.1007,0.0545,0.32095048,0.161859527,0.082761588,0.043118674,0.8595,0.8348,0.8121,0.786
3,0.3692,0.2015,0.113,0.0631,0.367,0.1979,0.1097,0.0607,0.3561,0.1944,0.1099,0.061,0.337372173,0.175962424,0.092522385,0.049145007,0.7375,0.7195,0.7035,0.6818
4,0.3832,0.2136,0.1227,0.0689,0.3777,0.2085,0.1199,0.0677,0.3635,0.203,0.1163,0.0648,0.348859605,0.185887015,0.100416607,0.05463,0.7666,0.7526,0.7404,0.7227
5,0.3897,0.2206,0.1289,0.0727,0.3816,0.2116,0.1218,0.0691,0.3727,0.2088,0.1199,0.0669,0.345758649,0.186217009,0.103005034,0.056467442,0.8127,0.8008,0.7903,0.7752
6,0.3923,0.2209,0.1291,0.0726,0.3883,0.2168,0.1258,0.0718,0.3829,0.2185,0.1279,0.0728,0.363959947,0.200674959,0.113873516,0.064457758,0.7172,0.7038,0.6922,0.6743
7,0.3806,0.2162,0.127,0.0713,0.3916,0.2187,0.1274,0.0736,0.3872,0.2183,0.1261,0.0711,0.354387378,0.193283992,0.108814095,0.060745806,0.7299,0.7174,0.7066,0.6897
8,0.4048,0.2324,0.1386,0.081,0.3948,0.222,0.1306,0.0754,0.3905,0.221,0.128,0.0728,0.342707587,0.188481736,0.106937316,0.059816766,0.7159,0.7032,0.6923,0.6751
9,0.4049,0.2337,0.1388,0.0805,0.3915,0.2187,0.127,0.0721,0.3911,0.2228,0.1305,0.075,0.370663145,0.204336078,0.115567704,0.064357043,0.6853,0.6725,0.6617,0.6441
10,0.4088,0.2363,0.1415,0.0817,0.3968,0.2239,0.1318,0.076,0.3944,0.226,0.1332,0.0771,0.372405329,0.206850774,0.117798586,0.066398173,0.9462,0.9408,0.9359,0.9294
11,0.413,0.2401,0.1455,0.0857,0.3993,0.2261,0.1336,0.0774,0.396,0.2274,0.1342,0.077,0.360473304,0.200902587,0.115509879,0.06507441,0.7058,0.6935,0.683,0.6661
12,0.4085,0.2364,0.1415,0.0829,0.3989,0.225,0.1318,0.0762,0.4025,0.2314,0.137,0.0793,0.378891679,0.212068055,0.121848378,0.068701114,0.7313,0.7196,0.7096,0.6935
13,0.4149,0.2423,0.1476,0.0873,0.4023,0.2279,0.1348,0.0778,0.4024,0.233,0.1394,0.0814,0.375059153,0.209541421,0.120190657,0.067304135,0.8955,0.8886,0.8824,0.8732
14,0.4133,0.2395,0.1433,0.0837,0.4049,0.2296,0.1359,0.0785,0.4076,0.2363,0.1415,0.0817,0.384885324,0.215922422,0.12464258,0.070811253,0.9574,0.953,0.949,0.9436
15,0.4102,0.2383,0.1441,0.0844,0.4048,0.2288,0.1354,0.0783,0.4058,0.2345,0.1393,0.0803,0.376059415,0.209873811,0.120400182,0.067576903,0.903,0.8966,0.8907,0.8822
16,0.412,0.2424,0.1484,0.0884,0.4019,0.2271,0.1336,0.0763,,,,,,,,,0.8052,0.7954,0.7867,0.7732
17,0.4088,0.238,0.1439,0.0844,0.4067,0.2294,0.1353,0.0778,,,,,,,,,0.7622,0.7515,0.7422,0.7273
18,,,,,0.4051,0.2295,0.1366,0.0793,,,,,,,,,0.9093,0.9032,0.8978,0.8898
19,,,,,0.4035,0.2299,0.1366,0.0789,,,,,,,,,0.8537,0.8453,0.8378,0.8264
20,,,,,0.4076,0.2316,0.1378,0.0794,,,,,,,,,0.8539,0.8457,0.8384,0.8273
