epoch,model1_train,model1_val,model2_train,model2_val,model3_train,model3_val,model4_train,model4_val,model5_train,model5_val
1,4.1693,3.6511,4.1061,3.6084,4.5145,3.8761,4.610719,4.053058,2.5361,0.9982
2,3.4759,3.3423,3.4252,3.3311,3.7066,3.516,3.90906,3.720203,0.635,0.3562
3,3.2002,3.187,3.1914,3.1941,3.4134,3.3336,3.644248,3.528886,0.244,0.1785
4,3.0214,3.0859,3.0436,3.1109,3.2311,3.2171,3.470975,3.398648,0.1085,0.1041
5,2.8861,3.0114,2.9374,3.0522,3.099,3.1326,3.343609,3.301692,0.057,0.082
6,2.7734,2.9563,2.8494,3.0086,2.9974,3.0653,3.244612,3.224704,0.0346,0.0718
7,2.6814,2.9325,2.7812,2.9798,2.9112,3.018,3.164919,3.166816,0.0245,0.06
8,2.5981,2.9032,2.7176,2.9554,2.8402,2.9824,3.09605,3.115616,0.0202,0.0521
9,2.5228,2.8905,2.6647,2.94,2.7777,2.9503,3.0376,3.076473,0.0165,0.05
10,2.457,2.8565,2.6122,2.919,2.7237,2.9232,2.986449,3.039569,0.0141,0.0511
11,2.3935,2.8507,2.5713,2.9124,2.674,2.9019,2.941762,3.010865,0.0123,0.0439
12,2.3376,2.8476,2.5289,2.9045,2.6294,2.8898,2.898461,2.987033,0.0119,0.0415
13,2.2791,2.8478,2.4915,2.8953,2.5888,2.8681,2.862426,2.964741,0.0109,0.0409
14,2.2279,2.8331,2.4542,2.8863,2.548,2.8556,2.830334,2.943861,0.0101,0.0448
15,2.1785,2.8393,2.4207,2.8808,2.5119,2.8445,2.798676,2.924572,0.0098,0.0405
16,2.1299,2.847,2.3911,2.8834,,,,,0.0094,0.0407
17,2.0851,2.8442,2.3592,2.8777,,,,,0.0084,0.0355
18,,,2.3302,2.8797,,,,,0.0083,0.0372
19,,,2.3005,2.8796,,,,,0.008,0.046
20,,,2.2761,2.879,,,,,0.0073,0.0393
